regionName	Date	GovernmentResponseIndex
Hawaii	12-2020	71.35416666666667
Hawaii	01-2021	73.85416666666667
Hawaii	02-2021	72.8125
Hawaii	03-2021	71.97916666666667
Hawaii	04-2021	71.97916666666667
Hawaii	05-2021	74.47916666666667
Hawaii	06-2021	64.0625
Hawaii	07-2021	55.208333333333336
Hawaii	08-2021	59.895833333333336
Hawaii	09-2021	56.770833333333336
Hawaii	10-2021	56.770833333333336
Hawaii	11-2021	53.645833333333336
Hawaii	12-2021	51.302083333333336
Idaho	01-2020	0.0
Idaho	02-2020	9.895833333333334
Idaho	03-2020	20.3125
Idaho	04-2020	70.3125
Idaho	05-2020	54.6875
Idaho	06-2020	52.08333333333333
Idaho	07-2020	52.60416666666667
Idaho	08-2020	47.91666666666667
Idaho	09-2020	47.395833333333336
Idaho	10-2020	45.3125
Idaho	11-2020	53.38541666666666
Idaho	12-2020	55.88541666666666
Idaho	01-2021	57.96875
Idaho	02-2021	50.9375
Idaho	03-2021	51.40625
Idaho	04-2021	50.26041666666667
Idaho	05-2021	48.4375
Idaho	06-2021	48.4375
Idaho	07-2021	46.875
Idaho	08-2021	45.833333333333336
Idaho	09-2021	42.1875
Idaho	10-2021	42.1875
Idaho	11-2021	36.979166666666664
Idaho	12-2021	40.104166666666664
Illinois	01-2020	0.0
Illinois	02-2020	13.020833333333334
Illinois	03-2020	28.125
Illinois	04-2020	68.22916666666667
Illinois	05-2020	71.87500000000001
Illinois	06-2020	63.541666666666664
Illinois	07-2020	57.291666666666664
Illinois	08-2020	52.083333333333336
Illinois	09-2020	54.427083333333336
Illinois	10-2020	54.68750000000001
Illinois	11-2020	56.25000000000001
Illinois	12-2020	63.75000000000001
Illinois	01-2021	65.0
Illinois	02-2021	60.31250000000001
Illinois	03-2021	61.56250000000001
Illinois	04-2021	63.020833333333336
Illinois	05-2021	60.416666666666664
Illinois	06-2021	51.5625
Illinois	07-2021	48.4375
Illinois	08-2021	46.354166666666664
Illinois	09-2021	46.875
Illinois	10-2021	43.75
Illinois	11-2021	40.625
Illinois	12-2021	43.75
Indiana	01-2020	0.0
Indiana	02-2020	13.020833333333334
Indiana	03-2020	33.854166666666664
Indiana	04-2020	59.89583333333334
Indiana	05-2020	61.97916666666667
Indiana	06-2020	60.41666666666667
Indiana	07-2020	56.770833333333336
Indiana	08-2020	55.208333333333336
Indiana	09-2020	52.34375000000001
Indiana	10-2020	52.34375000000001
Indiana	11-2020	52.864583333333336
Indiana	12-2020	58.489583333333336
Indiana	01-2021	58.489583333333336
Indiana	02-2021	59.739583333333336
Indiana	03-2021	57.34375000000001
Indiana	04-2021	54.94791666666667
Indiana	05-2021	54.16666666666667
Indiana	06-2021	51.04166666666667
Indiana	07-2021	49.739583333333336
Indiana	08-2021	46.614583333333336
Indiana	09-2021	44.270833333333336
Indiana	10-2021	44.270833333333336
Indiana	11-2021	35.93750000000001
Indiana	12-2021	39.06250000000001
Iowa	01-2020	0.0
Iowa	02-2020	9.895833333333334
Iowa	03-2020	35.9375
Iowa	04-2020	62.5
Iowa	05-2020	67.70833333333333
Iowa	06-2020	55.20833333333333
Iowa	07-2020	54.42708333333333
Iowa	08-2020	57.55208333333333
Iowa	09-2020	51.822916666666664
Iowa	10-2020	50.78125
Iowa	11-2020	55.46875
Iowa	12-2020	53.59375
Iowa	01-2021	50.15625
Iowa	02-2021	49.11458333333333
Iowa	03-2021	45.98958333333333
Iowa	04-2021	47.65625
Iowa	05-2021	45.572916666666664
Iowa	06-2021	44.791666666666664
Iowa	07-2021	45.833333333333336
Iowa	08-2021	38.541666666666664
Iowa	09-2021	36.458333333333336
Iowa	10-2021	36.458333333333336
Iowa	11-2021	33.333333333333336
Iowa	12-2021	36.458333333333336
Kansas	01-2020	0.0
Kansas	02-2020	9.895833333333334
Kansas	03-2020	44.270833333333336
Kansas	04-2020	68.75
Kansas	05-2020	66.66666666666666
Kansas	06-2020	54.6875
Kansas	07-2020	57.03125
Kansas	08-2020	51.822916666666664
Kansas	09-2020	51.302083333333336
Kansas	10-2020	52.864583333333336
Kansas	11-2020	54.947916666666664
Kansas	12-2020	56.197916666666664
Kansas	01-2021	56.666666666666664
Kansas	02-2021	56.666666666666664
Kansas	03-2021	51.197916666666664
Kansas	04-2021	49.739583333333336
Kansas	05-2021	49.739583333333336
Kansas	06-2021	50.0
Kansas	07-2021	52.083333333333336
Kansas	08-2021	48.958333333333336
Kansas	09-2021	51.302083333333336
Kansas	10-2021	47.135416666666664
Kansas	11-2021	40.885416666666664
Kansas	12-2021	36.19791666666667
Kentucky	01-2020	3.125
Kentucky	02-2020	13.020833333333334
Kentucky	03-2020	44.270833333333336
Kentucky	04-2020	75.0
Kentucky	05-2020	73.95833333333334
Kentucky	06-2020	75.0
Kentucky	07-2020	69.27083333333334
Kentucky	08-2020	67.70833333333334
Kentucky	09-2020	64.58333333333334
Kentucky	10-2020	63.020833333333336
Kentucky	11-2020	57.291666666666664
Kentucky	12-2020	59.37499999999999
Kentucky	01-2021	62.395833333333336
Kentucky	02-2021	62.395833333333336
Kentucky	03-2021	62.395833333333336
Kentucky	04-2021	53.64583333333333
Kentucky	05-2021	48.43750000000001
Kentucky	06-2021	45.833333333333336
Kentucky	07-2021	46.87500000000001
Kentucky	08-2021	48.958333333333336
Kentucky	09-2021	50.520833333333336
Kentucky	10-2021	50.520833333333336
